                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86771,                0.63944,                 1.0567,                0.82851,                0.73518,                0.82796,                0.60578,                0.88505,                 0.6352,                 1.0429,                0.00333,                0.00333,                0.00333
                      2,                0.87455,                 0.6536,                 1.0556,                0.82851,                0.72117,                0.81974,                0.59601,                0.90685,                0.65436,                 1.0573,              0.0064096,              0.0064096,              0.0064096
                      3,                0.91312,                0.69768,                 1.0768,                0.80027,                0.68832,                0.77964,                0.54844,                 0.9927,                0.75838,                 1.1183,              0.0092354,              0.0092354,              0.0092354
                      4,                0.95847,                0.75676,                  1.105,                0.82224,                0.68646,                0.79048,                0.55926,                0.98308,                0.73407,                 1.1039,              0.0088577,              0.0088577,              0.0088577
                      5,                0.96448,                0.75992,                 1.1089,                0.81034,                0.69583,                0.79402,                0.56136,                0.96776,                0.72955,                 1.0963,              0.0088577,              0.0088577,              0.0088577
                      6,                0.95867,                0.75571,                 1.1064,                0.83293,                0.70224,                0.80099,                0.57308,                0.94025,                0.69171,                 1.0731,              0.0084769,              0.0084769,              0.0084769
                      7,                0.95464,                0.74813,                 1.0982,                0.82655,                0.70233,                0.80451,                0.57876,                0.93996,                 0.6885,                 1.0768,              0.0080962,              0.0080962,              0.0080962
                      8,                0.94827,                0.74228,                 1.0954,                0.82197,                0.71615,                0.81333,                0.58712,                0.92001,                0.67333,                  1.066,              0.0077154,              0.0077154,              0.0077154
                      9,                0.93792,                0.73231,                 1.0935,                0.81946,                0.72399,                0.81563,                0.59255,                0.90627,                0.65357,                 1.0574,              0.0073346,              0.0073346,              0.0073346
                     10,                0.93568,                0.72497,                 1.0894,                0.82961,                0.72117,                0.82113,                0.59683,                0.90904,                0.64682,                 1.0613,              0.0069538,              0.0069538,              0.0069538
                     11,                0.92908,                0.71703,                 1.0834,                0.82612,                0.72998,                0.82437,                 0.6027,                0.90125,                0.63598,                 1.0553,              0.0065731,              0.0065731,              0.0065731
                     12,                  0.922,                0.70895,                 1.0779,                0.83241,                0.72683,                0.82531,                0.60447,                0.89241,                0.63264,                 1.0492,              0.0061923,              0.0061923,              0.0061923
                     13,                0.91441,                0.69992,                 1.0739,                0.82784,                0.73694,                0.82981,                0.60821,                0.88296,                0.62723,                 1.0394,              0.0058115,              0.0058115,              0.0058115
                     14,                0.91261,                0.69315,                 1.0762,                0.82712,                   0.74,                0.83146,                0.61047,                0.88248,                 0.6169,                 1.0413,              0.0054308,              0.0054308,              0.0054308
                     15,                0.90301,                0.68507,                  1.068,                0.83144,                0.73991,                0.83335,                0.61292,                0.88012,                 0.6118,                 1.0418,                0.00505,                0.00505,                0.00505
                     16,                0.89838,                0.67822,                 1.0684,                0.82966,                0.74139,                0.83376,                0.61396,                0.87694,                0.60905,                 1.0401,              0.0046692,              0.0046692,              0.0046692
                     17,                0.91306,                0.66837,                 1.0691,                0.82621,                0.74728,                0.83498,                0.61568,                0.87455,                0.60436,                 1.0408,              0.0042885,              0.0042885,              0.0042885
                     18,                0.90434,                0.65333,                 1.0628,                0.82844,                0.74446,                0.83584,                 0.6164,                0.87165,                 0.6029,                 1.0384,              0.0039077,              0.0039077,              0.0039077
                     19,                 0.8959,                0.64268,                 1.0529,                0.83353,                0.74297,                0.83693,                0.61752,                0.87054,                0.60065,                 1.0376,              0.0035269,              0.0035269,              0.0035269
                     20,                0.88622,                0.63191,                  1.047,                 0.8329,                0.74436,                0.83757,                0.61854,                 0.8686,                0.60017,                 1.0353,              0.0031462,              0.0031462,              0.0031462
                     21,                0.87486,                0.61958,                 1.0446,                 0.8356,                0.74327,                0.83787,                0.61887,                0.86724,                0.59901,                 1.0342,              0.0027654,              0.0027654,              0.0027654
                     22,                0.86608,                0.60404,                 1.0365,                0.83915,                0.74354,                0.83837,                0.61888,                0.86653,                0.59753,                 1.0334,              0.0023846,              0.0023846,              0.0023846
                     23,                0.85427,                0.59028,                 1.0277,                0.84147,                0.74172,                0.83836,                0.61937,                0.86517,                0.59646,                 1.0321,              0.0020038,              0.0020038,              0.0020038
                     24,                0.84202,                0.57701,                  1.023,                 0.8433,                0.74279,                0.83868,                0.62012,                0.86444,                 0.5963,                 1.0314,              0.0016231,              0.0016231,              0.0016231
                     25,                0.83186,                0.56247,                 1.0162,                0.84197,                0.74408,                0.83912,                0.62057,                0.86421,                 0.5953,                 1.0311,              0.0012423,              0.0012423,              0.0012423
                     26,                0.82317,                0.54989,                 1.0113,                0.84531,                0.74149,                0.83958,                0.62095,                0.86367,                0.59347,                 1.0306,             0.00086154,             0.00086154,             0.00086154
